player,date,headline,fantasy_impact,category
Pierre Strong Jr.,"Tue, Aug 26th 11:29am EDT",The Browns released RB Pierre Strong Jr. (Source: Matt Zenitz on Twitter),Fantasy Impact: Strong spent the past two seasons in Cleveland. He'll likely seek a depth role with another team.,Category: Transactions
K.J. Osborn,"Tue, Aug 26th 11:26am EDT",The Commanders released WR K.J. Osborn. (Source: Adam Schefter on Twitter),Fantasy Impact: Osborn was with the Commanders since March. He was unable to earn a spot on the Commanders 53-man roster. He'll likely look to land another opportunity on a practice squad.,Category: Transactions
Lil'Jordan Humphrey,"Tue, Aug 26th 11:24am EDT",The Giants released WR Lil'Jordan Humphrey. (Source: Adam Schefter on Twitter),Fantasy Impact: Humphrey had been with the Giants since March. He was unable to earn a spot on the Giants 53-man roster. He'll likely look to land another opportunity on a practice squad.,Category: Transactions
Trent Brown,"Tue, Aug 26th 11:23am EDT",The Texans are releasing veteran offensive lineman Trent Brown. (Source: Adam Schefter on Twitter),Fantasy Impact: Brown was unable to earn a spot on the Texans 53-man roster. He'll likely look to land another opportunity in a depth spot.,Category: Transactions
Theo Wease Jr.,"Tue, Aug 26th 11:21am EDT",The Dolphins released WR Theo Wease Jr. (Source: Adam Schefter on Twitter),Fantasy Impact: Wease signed with Miami as an undrafted free agent. He was unable to earn a spot on the Dolphins 53-man roster. He'll likely look to land another opportunity on a practice squad.,Category: Transactions
Ja'Quinden Jackson,"Tue, Aug 26th 11:20am EDT",The Jaguars released RB Ja'Quinden Jackson. (Source: Adam Schefter on Twitter),Fantasy Impact: Jackson signed with the Jaguars as an undrafted free agent. He was unable to earn a spot on the Jaguars 53-man roster. He'll likely look to land another opportunity on a practice squad.,Category: Transactions
Duke Riley,"Tue, Aug 26th 11:18am EDT",The Commanders released LB Duke Riley. (Source: Adam Schefter on Twitter),Fantasy Impact: Riley signed with the Commanders earlier in August. He was unable to earn a spot on the Commanders 53-man roster. He'll likely look to land another opportunity on a practice squad.,Category: Transactions
Derrick McLendon II,"Tue, Aug 26th 11:16am EDT",The Dolphins waived LB Derrick McLendon II. (Source: Adam Schefter on Twitter),Fantasy Impact: McLendon was unable to earn a spot on the Dolphins 53-man roster. He'll likely look to land another opportunity on a practice squad.,Category: Transactions
Jordan Clark,"Tue, Aug 26th 11:14am EDT",The Jets waived DB Jordan Clark. (Source: Adam Schefter on Twitter),Fantasy Impact: Clark is expected to be on the Jets practice squad if he goes unclaimed.,Category: Transactions
Jonathan Mingo,"Tue, Aug 26th 11:10am EDT",Jonathan Mingo (knee) has been placed on injured reserve. (Source: Todd Archer on Twitter),"Fantasy Impact: Mingo is set to be sidelined for a while as he recovers from a knee injury that he suffered during the preseason. He isn't fantasy relevant in any league formats, so managers shouldn't put much weight into his absence for Dallas.",Category: Transactions
Tyjae Spears,"Tue, Aug 26th 11:10am EDT",The Titans are placing RB Tyjae Spears on injured reserve that will sideline him the first four games of the season. (Source: Adam Schefter on Twitter),Fantasy Impact: Spears suffered a high ankle sprain earlier in August which placed him in a walking boot. Tony Pollard will see a bigger role early in the season.,Category: Injury Updates
Jake Haener,"Tue, Aug 26th 10:59am EDT",Jake Haener has been waived by the New Orleans Saints. (Source: Mike Garafolo on Twitter),"Fantasy Impact: Haener was one of the quarterbacks battling for the starting job in New Orleans over the course of the summer, but he did not win and is now being waived by the team. If he finds a home with a new team, it will be as nothing more than a depth piece.",Category: Transactions
Desmond Ridder,"Tue, Aug 26th 10:57am EDT",Desmond Ridder has been released by the Cincinnati Bengals. (Source: Tom Pelissero on Twitter),"Fantasy Impact: The Bengals need to make roster cuts prior to the start of the regular season, and Ridder now finds himself as a victim of that. Jake Browning is set to be the QB2 for the team heading into the regular season.",Category: Transactions
Greg Dulcich,"Tue, Aug 26th 10:56am EDT",Greg Dulcich has been released by the New York Giants. (Source: Tom Pelissero on Twitter),"Fantasy Impact: The Giants releasing Dulcich comes as a bit of a surprise, as he had a dominant preseason and looked slated to make the roster with New York's tight end depth being weak. The team decided to let him go, however, and he seems like a prime candidate to sign with another team at some point early on in the season.",Category: Transactions
Malachi Corley,"Tue, Aug 26th 10:53am EDT",Malachi Corley has been waived by the New York Jets. (Source: Jordan Schultz on Twitter),"Fantasy Impact: The Jets invested a day-two pick on Corley in the 2024 NFL Draft, but he struggled to find his footing with the team and is now being waived. It remains to be seen if he will land somewhere else prior to the start of the season.",Category: Transactions
Trey Palmer,"Tue, Aug 26th 10:51am EDT",Trey Palmer has been waived by the Tampa Bay Buccaneers. (Source: Rick Stroud on Twitter),"Fantasy Impact: Palmer is now on waivers and is eligible to be claimed over the next couple of days. The Buccaneers have a deep wide receiver room, so cutting him loose may speak more to their abundance rather than a knock on him as a player. He seems likely to land somewhere before the season begins, but he isn't expected to be fantasy relevant at all this season.",Category: Transactions
Jelani Woods,"Tue, Aug 26th 10:49am EDT",Jelani Woods has been released by the Indianapolis Colts. (Source: Jeremy Fowler on Twitter),"Fantasy Impact: The Colts have decided to release Woods as part of their roster cut downs prior to the start of the regular season. He is a former third round pick and still has high physical upside, so he seems like a strong candidate to be signed by another team at some point during the season.",Category: Transactions
Diontae Johnson,"Tue, Aug 26th 9:46am EDT",Diontae Johnson has been released by the Cleveland Browns. The former Steeler will now look to find a new home. (Source: Mike Garafolo on X),"Fantasy Impact: Johnson appeared to be building some chemistry with the Cleveland QBs earlier this offseason, but the journeyman couldnt make it stick. With the addition of Isaiah Bond and return of Cedric Tillman to the lineup alongside Jerry Jeudy, Johnson became the odd man out. His fantasy relevance has been extremely limited since his Carolina days, and it appears his off the field actions have something to do with him not finding a good fit. Hes a name worth monitoring, but his fantasy relevance is likely over.",Category: Transactions
Tommy DeVito,"Tue, Aug 26th 8:24am EDT","Tommy DeVito has been released by the New York Giants. There were some trade talks happening behind the scenes before his release, so he might not be without a team for long. (Source: Mike Garafolo on X)","Fantasy Impact: Almost no matter where he goes, hes going to be the second string backup at best, but likely a third string QB. Hes been a serviceable replacement, however, going 3-5 in his starts and completing 65% of his passes while keeping turnovers down.",Category: Transactions
Dan Skipper,"Tue, Aug 26th 4:51am EDT",The Lions released OL Dan Skipper. (Source: Ari Meirov on Twitter),Fantasy Impact: Skipper had re-signed with Detroit back in March. He'll likely seek a depth role with another team.,Category: Transactions
Tyrice Knight,"Tue, Aug 26th 4:50am EDT",Seahawks coach Mike Macdonald said he expects Tyrice Knight to be ready for the start of the season. (Source: Brian Nemhauser on Twitter),Fantasy Impact: This confirms a report from last week. Knight has just under two weeks to get fully healthy.,Category: Injury Updates
Tory Horton,"Tue, Aug 26th 4:48am EDT",Seahawks coach Mike Macdonald said he expects rookie WR Tory Horton to be available for Week 1. (Source: Brian Nemhauser on Twitter),Fantasy Impact: Horton has been sidelined from practice since last week. He is competing for the WR3 role in Seattle.,Category: Injury Updates
Jake Bobo,"Tue, Aug 26th 4:45am EDT",The Seahawks placed WR Jake Bobo in concussion protocol. (Source: Brian Nemhauser on Twitter),Fantasy Impact: Bobo suffered the injury in the Seahawks preseason finale. He will just have under two weeks to clear the protocols ahead of the season opener.,Category: Injury Updates
Mike Morris,"Tue, Aug 26th 4:44am EDT",The Seahawks placed Mike Morris in concussion protocol. (Source: Brian Nemhauser on Twitter),Fantasy Impact: Morris will just have under two weeks to clear the protocols ahead of the season opener.,Category: Injury Updates
Brenden Rice,"Tue, Aug 26th 4:41am EDT",The Chargers released WR Brenden Rice.,Fantasy Impact: Rice is son of Hall of Famer Jerry Rice. He'll likely seek a depth role with another team.,Category: Transactions
Shane Buechele,"Tue, Aug 26th 4:40am EDT",The Bills waived QB Shane Buechele. (Source: Adam Schefter on Twitter),"Fantasy Impact: Buechele completed 25-of-30 passes for 278 yards, a touchdown. He also added 20 rushing yards Saturday night. He'll seek another depth role.",Category: Transactions
Brennan Jackson,"Tue, Aug 26th 4:38am EDT",The Rams released LB Brennan Jackson. (Source: Adam Schefter on Twitter),Fantasy Impact: Jackson was a round pick just last year. He was second in the NFL in sacks this preseason.,Category: Transactions
Jaylon Smith,"Tue, Aug 26th 4:36am EDT",The Raiders released LB Jaylon Smith. (Source: Tom Pelissero on Twitter),Fantasy Impact: Smith was one of four players released by Las Vegas on Monday. He'll likely seek another opportunity prior to the start of the season.,Category: Transactions
Marquez Callaway,"Tue, Aug 26th 4:35am EDT",The Raiders released WR Marquez Callaway. (Source: Tom Pelissero on Twitter),Fantasy Impact: Callaway was one of three wide receivers released by Las Vegas on Monday. He'll likely seek another opportunity prior to the start of the season.,Category: Transactions
Phillip Dorsett II,"Tue, Aug 26th 4:34am EDT",The Raiders released WR Phillip Dorsett II. (Source: Tom Pelissero on Twitter),Fantasy Impact: Dorsett was one of three wide receivers released by Las Vegas on Monday. He'll likely seek another opportunity prior to the start of the season.,Category: Transactions
Collin Johnson,"Tue, Aug 26th 4:33am EDT",The Raiders released WR Collin Johnson. (Source: Tom Pelissero on Twitter),Fantasy Impact: Johnson was one of three wide receivers released by Las Vegas on Monday. He'll likely seek another opportunity prior to the start of the season.,Category: Transactions
Baylor Cupp,"Tue, Aug 26th 4:31am EDT",The Ravens waived TE Baylor Cupp. (Source: Jamison Hensley on Twitter),Fantasy Impact: Cupping signed with the Ravens earlier in August. He was one of three players waived by Baltimore on Monday ahead of Tuesday's deadline for rosters to be cut down. He'll likely seek another opportunity before the season.,Category: Transactions
MJ Devonshire Jr.,"Tue, Aug 26th 4:29am EDT",The Ravens waived DB MJ Devonshire Jr. (Source: Jamison Hensley on Twitter),Fantasy Impact: Devonshire was one of three players waived by Baltimore on Monday ahead of Tuesday's deadline for rosters to be cut down. He'll likely seek another opportunity before the season.,Category: Transactions
Reid Holskey,"Tue, Aug 26th 4:28am EDT",The Ravens waived OT Reid Holskey. (Source: Jamison Hensley on Twitter),Fantasy Impact: Holskey was one of three players waived by Baltimore on Monday ahead of Tuesday's deadline for rosters to be cut down. He'll likely seek another opportunity before the season.,Category: Transactions
Essang Bassey,"Tue, Aug 26th 4:26am EDT",The Commanders released DB Essang Bassey. (Source: Adam Schefter on Twitter),Fantasy Impact: Bassey had signed with the Commanders earlier in August. He loses his roster spot with Washington ahead of Tuesday's deadline for rosters to be cut down to 53 players. He'll likely seek another opportunity.,Category: Transactions
Nick Harris,"Tue, Aug 26th 4:24am EDT",The Commanders released C Nick Harris. (Source: Adam Schefter on Twitter),Fantasy Impact: Harris signed with Washington just last week. He loses his roster spot with Washington ahead of Tuesday's deadline for rosters to be cut down to 53 players. He'll likely seek another opportunity.,Category: Transactions
Tyre Phillips,"Tue, Aug 26th 4:23am EDT",The Commanders released T Tyre Phillips. (Source: Adam Schefter on Twitter),Fantasy Impact: Phillips signed with Washington back in May. He loses his roster spot with Washington ahead of Tuesday's deadline for rosters to be cut down to 53 players. He'll likely seek another opportunity.,Category: Transactions
Norell Pollard,"Tue, Aug 26th 4:22am EDT",The Commanders released DT Norell Pollard. (Source: Adam Schefter on Twitter),Fantasy Impact: Pollard loses his roster spot with Washington ahead of Tuesday's deadline for rosters to be cut down to 53 players. He'll likely seek another opportunity.,Category: Transactions
Braylon Sanders,"Tue, Aug 26th 4:20am EDT",The Commanders released WR Braylon Sanders. (Source: Adam Schefter on Twitter),Fantasy Impact: Sanders loses his roster spot with Washington ahead of Tuesday's deadline for rosters to be cut down to 53 players. He'll likely seek another opportunity.,Category: Transactions
Mitchell Agude,"Tue, Aug 26th 4:19am EDT",The Lions released LB Mitchell Agude. (Source: Adam Schefter on Twitter),Fantasy Impact: Agude had signed with Detroit back in March. He'll likely seek another opportunity on a practice squad.,Category: Transactions
Jalen Milroe,"Mon, Aug 25th 10:48pm EDT",Seahawks coach Mike Macdonald said Jalen Milroe will have a special set of plays in the game plan with the first-team offense this season. (Source: Bob Condotta on Twitter),Fantasy Impact: Milroe was drafted by Seattle at the end of round three. Sam Darnold has the starring job locked up this year with Milroe potentially in the game in short-yardage situations. It'll be worth monitoring to see if he potentially takes some touchdowns at the goal line from Kenneth Walker.,
Mekhi Blackmon,"Mon, Aug 25th 8:27pm EDT",The Vikings traded CB Mekhi Blackmon to the Colts for a 2026 sixth round pick. (Source: Adam Schefter on Twitter),Fantasy Impact: It is another trade ahead of Tuesday when rosters need to be cut down. Blackmon will add depth in the secondary for the Colts.,Category: Transactions
Blake Watson,"Mon, Aug 25th 8:25pm EDT",The Broncos waived RB Blake Watson. (Source: Jeremy Fowler on Twitter),"Fantasy Impact: Watson suffered a PCL strain last week, which will lead to an injury settlement with the team. He is expected to draw some interest on waivers.","Category: Injury Updates, Transactions"
DeAndre Carter,"Mon, Aug 25th 8:24pm EDT",The Browns released WR and return specialist DeAndre Carter. (Source: Jordan Schultz on Twitter),Fantasy Impact: Carter signed a one-year deal with Cleveland back in March. He spent last season with the Bears.,Category: Transactions
Teddy Bridgewater,"Mon, Aug 25th 8:22pm EDT",Teddy Bridgewater won the backup quarterback job for the Buccaneers. (Source: Jeremy Fowler on Twitter),Fantasy Impact: Bridgewater will enter the season backing up Baker Mayfield. He came out of retirement to sign with Tampa on August 5.,
Mike White,"Mon, Aug 25th 8:20pm EDT",The Bills released QB Mike White. (Source: Tom Pelissero on Twitter),Fantasy Impact: White spent last season on the Bills practice squad. He should get another opportunity on a team's practice squad.,Category: Transactions
Kyle Trask,"Mon, Aug 25th 8:19pm EDT",The Buccaneers released QB Kyle Trask. (Source: Jeremy Fowler on Twitter),"Fantasy Impact: Trask was competing with Teddy Bridgewater for backup quarterback battle. He will revert to IR with a shoulder issue, then work out a settlement or release soon and look for a new team.","Category: Injury Updates, Transactions"
Jackson Meeks,"Mon, Aug 25th 8:17pm EDT",The Lions waived WR Jackson Meeks. (Source: Nolan Bianchi on Twitter),Fantasy Impact: Meeks is expected to re-sign with the Lions practice squad if he doesn't get claimed on waivers.,Category: Transactions
Kenny Pickett,"Mon, Aug 25th 8:07pm EDT",The Browns are trading QB Kenny Pickett to the Las Vegas Raiders. (Source: Adam Schefter on Twitter),Fantasy Impact: Las Vegas needed a backup quarterback after losing Aidan O'Connell for 6-to-8 weeks. Dillon Gabriel and Shedeur Sanders will enter the season behind Joe Flacco in the Browns quarterback room.,Category: Transactions
Audric Estime,"Mon, Aug 25th 6:28pm EDT",The Broncos waived RB Audric Estime. (Source: Mike Klis on Twitter),Fantasy Impact: Estime was unable to earn a depth role in the Broncos backfield. He could draw some interest on waivers.,Category: Transactions
Amari Cooper,"Mon, Aug 25th 5:45pm EDT",The Raiders signed free agent WR Amari Cooper to a one-year contract. (Source: Jordan Schultz on Twitter),"Fantasy Impact: Cooper lands in Las Vegas on the same day Jakobi Meyers requested a trade. He is on the older side, but he still enters a favorable situation in a shallow Raiders wide receiver room, especially if Meyers is traded.",Category: Transactions
Trey Hendrickson,"Mon, Aug 25th 5:28pm EDT",Trey Hendrickson and the Bengals reached agreement on a $14 million raise for this season. (Source: Adam Schefter on Twitter),Fantasy Impact: Hendrickson will officially end his holdout. The agreement will boost his 2025 salary to $30 million dollars. He is still scheduled to become an unrestricted free agent after this season.,Category: Transactions
Mark Andrews,"Mon, Aug 25th 4:51pm EDT",Ravens coach John Harbaugh said he expects Mark Andrews to return to practice next week. (Source: Jamison Hensley on Twitter),Fantasy Impact: Andrews has been sidelined from practice since last week. He should have enough time to be ready for the season opener against the Bills.,Category: Injury Updates
Jaylen Wright,"Mon, Aug 25th 4:50pm EDT",Dolphins coach Mike McDaniel said he doesnt expect Dolphins RB Jaylen Wright to be available for Week 1. (Source: Marcel Louis-Jacques on Twitter),Fantasy Impact: It is not expected to be a long absence for Wright. It will be rookie Ollie Gordon as the backup in the Dolphins backfield to open the season.,Category: Injury Updates
Darren Waller,"Mon, Aug 25th 4:47pm EDT",Dolphins coach Mike McDaniel said Darren Waller is expected to ramp up this week in practice. (Source: Marcel Louis-Jacques on Twitter),Fantasy Impact: It is the second week off the PUP list for Waller. He should be available for the start of the season. His exact role remains unclear.,
McTelvin Agim,"Mon, Aug 25th 4:45pm EDT",The Bengals released veteran DT McTelvin Agim. (Source: Around the NFL on Twitter),Fantasy Impact: Agim signed with the Bengals back in July. He'll likely seek another opportunity ahead of the season.,Category: Transactions
Anthony Pittman,"Mon, Aug 25th 4:43pm EDT",The Lions released Anthony Pittman. (Source: Dave Birkett on Twitter),Fantasy Impact: Lions coachDan Campbell mentioned Pittman's story earlier as an example of someone teams my let go and then need later in the year. He should eventually get another opportunity.,Category: Transactions
John Wolford,"Mon, Aug 25th 4:41pm EDT",The Jaguars released QB John Wolford. (Source: Jeremy Fowler on Twitter),Fantasy Impact: Wolford will likely seek a depth role with another team.,Category: Transactions
Michael Gallup,"Mon, Aug 25th 4:38pm EDT",The Washington Commanders released WR Michael Gallup. (Source: Adam Schefter on Twitter),Fantasy Impact: Gallup had signed with Washington earlier in the offseason. He figures to likely seek another opportunity.,Category: Transactions
Joe Mixon,"Mon, Aug 25th 4:18pm EDT",The Houston Texans are not elevating running back Joe Mixon from the non-football injury (NFI) list ahead of the start of the season. He will miss at least the first four games. (Source: Houston Texans on Twitter),"Fantasy Impact: Mixon has been dealing with a bit of a mysterious foot injury; there have been very few details about the nature and severity of his injury, and reports have been conflicting. The drumbeat seemed to indicate he would not be ready for Week 1, and with him starting the season on the NFI, he will not be eligible to return to practice or games until after the team's fourth game. The starting job will likely come between Nick Chubb and Dameon Pierce, with rookie Woody Marks and Dare Ogunbowale potentially getting passing-down work.","Category: Injury Updates, Transactions"
Bailey Zappe,"Mon, Aug 25th 4:11pm EDT",The Kansas City Chiefs are waiving quarterback Bailey Zappe ahead of the 53-man roster deadline. (Source: Tom Pelissero on Twitter),"Fantasy Impact: Zappe is not a typical fourth-round pick in terms of NFL opportunity and college production. After a record-breaking senior season at Western Kentucky, he ended up starting six games in his first two seasons in New England, playing alongside Mac Jones. He started one game in Cleveland in 2024 before heading to Kansas City this offseason. He could return to their practice squad as the emergency third quarterback.",Category: Transactions
Hendon Hooker,"Mon, Aug 25th 4:07pm EDT",The Detroit Lions are waiving third-year quarterback Hendon Hooker ahead of the 53-man roster deadline. (Source: Jordan Schultz on Twitter),"Fantasy Impact: Hooker was a third-round selection out of Tennessee, but he never got much opportunity in the NFL playing behind Jared Goff and missing his rookie season due to injury. However, he did struggle in the preseason and has dealt with health concerns. At 27 years old, he's not as young as other third-year players but could find a new opportunity elsewhere as a QB2.",Category: Transactions
Jaydon Blue,"Mon, Aug 25th 3:28pm EDT",Jaydon Blue (ankle) is practicing for the Cowboys on Monday. (Source: Nick Harris on Twitter),"Fantasy Impact: The rookie running back recently suffered a low-ankle sprain, but it doesn't seem to be a serious issue and he was able to participate at practice on Monday. His status for Week 1 has yet to be determined officially, but this is a good sign that he will be ready to make his season debut in the NFL's season opener on September 4th.",Category: Injury Updates
Matthew Stafford,"Mon, Aug 25th 3:26pm EDT",Matthew Stafford (back) was a full participant at practice again on Monday. (Source: Stu Jackson on Twitter),"Fantasy Impact: The veteran quarterback was able to log another full practice session on Monday, despite still dealing with the lingering effects of a persistent back issue. Him stringing together full practices is a great sign that he will be ready to go for the season opener, barring any setbacks in his recovery.",Category: Injury Updates
Jakobi Meyers,"Mon, Aug 25th 3:22pm EDT",Jakobi Meyers has officially requested a trade from the Raiders. (Source: Ian Rapoport on Twitter),"Fantasy Impact: It is being reported that the veteran wide receiver recently met with team officials and requested to be traded. This dispute appears to be contract related, as they were not able to agree to terms on a new deal. The team reportedly has no plans to trade Meyers, but it remains to be seen whether or not that will lead to a holdout or a new contract for him. Fantasy managers should keep close tabs on this situation with Las Vegas' opening game less than two weeks away, as any holdout would knock him off of draft boards entirely and hurt the safety of QB Geno Smith as well as the Raiders' offense as a whole.",Category: Rumors
Pharaoh Brown,"Mon, Aug 25th 2:03pm EDT",The Dolphins released TE Pharaoh Brown. (Source: Barry Jackson on Twitter),Fantasy Impact: Brown had signed with Miami back in March. He'll likely seek a depth role with another team prior to the start of the season.,Category: Transactions
Isaiah Davis,"Mon, Aug 25th 2:01pm EDT",Jets coach Aaron Glenn said Isaiah Davis is on track to be available for Week 1. (Source: Rich Cimini on Twitter),Fantasy Impact: Davis is expected to enter the season in a depth role in the Jets backfield.,Category: Injury Updates
Tyrod Taylor,"Mon, Aug 25th 2:00pm EDT",Jets coach Aaron Glenn said Tyrod Taylor is on track to be available for Week 1. (Source: Rich Cimini on Twitter),Fantasy Impact: Taylor underwent a knee procedure earlier in August. He is expected to enter the season as the backup for Justin Fields.,Category: Injury Updates
Sauce Gardner,"Mon, Aug 25th 1:58pm EDT",Jets coach Aaron Glenn said Sauce Gardner is on track to be available for Week 1. (Source: Rich Cimini on Twitter),Fantasy Impact: Gardner has missed the past couple of weeks of practice. He'll have just under two more weeks to get fully healthy before the start of the season.,Category: Injury Updates
Lamar Jackson,"Mon, Aug 25th 1:56pm EDT",Lamar Jackson was officially back at practice with the Ravens on Monday. (Source: Jeff Zrebiec on Twitter),Fantasy Impact: Jackson recently injured his foot after it was stepped on. He remains on track to be fully healthy for the start of the season.,Category: Injury Updates
Kyle McCord,"Mon, Aug 25th 1:54pm EDT",The Eagles released QB Kyle McCord. (Source: Jordan Schultz on Twitter),Fantasy Impact: McCord was a sixth round pick of the Eagles this year. He'll look to land a depth role with another team.,Category: Transactions
Will Howard,"Mon, Aug 25th 1:52pm EDT",Steelers coach Mike Tomlin said Will Howard has received positive updates from hand specialists and they are starting to ramp him up shortly. (Source: Nick Farabaugh on Twitter),Fantasy Impact: Howard has been sidelined with a hand injury the past few weeks. He is expected to return to full team work at practice soon.,Category: Injury Updates
Nick Herbig,"Mon, Aug 25th 1:47pm EDT",Steelers coach Mike Tomlin said the team isn't sure yet if Nick Herbig will be ready for Week 1. (Source: Nick Farabaugh on Twitter),Fantasy Impact: Herbig went down with a hamstring injury in the Steelers preseason opener. He'll have just under two more weeks to get fully healthy for the start of the season.,Category: Injury Updates
Allen Lazard,"Mon, Aug 25th 1:43pm EDT",Allen Lazard said he is on track to be healthy for the start of the season. (Source: Pro Football Talk on Twitter),Fantasy Impact: Lazard has been absent from practice at training camp the past couple of weeks. He'll have just under two more weeks to get fully healthy.,Category: Injury Updates
Kenyon Green,"Mon, Aug 25th 1:41pm EDT",The Eagles waived G Kenyon Green. (Source: Ari Meirov on Twitter),Fantasy Impact: Green was part of the C.J. Gardner-Johnson trade. He should draw some interest on waivers.,Category: Transactions
Grant DuBose,"Mon, Aug 25th 12:14pm EDT",The Bills waived/injured WR Grant DuBose. (Source: Adam Schefter on Twitter),"Fantasy Impact: If DuBose goes unclaimed on waivers, he'll revert back to IR with Buffalo.","Category: Injury Updates, Transactions"
Elijah Young,"Mon, Aug 25th 12:13pm EDT",The Bills released RB Elijah Young. (Source: Adam Schefter on Twitter),Fantasy Impact: Young was one of six players released by Buffalo with rosters needing to be cut down. He could seek another opportunity on a practice squad.,Category: Transactions
Matt Sokol,"Mon, Aug 25th 12:12pm EDT",The Bills released TE Matt Sokol. (Source: Adam Schefter on Twitter),Fantasy Impact: Sokol was one of six players released by Buffalo with rosters needing to be cut down. He could seek another opportunity on a practice squad.,Category: Transactions
Rush Reimer,"Mon, Aug 25th 12:11pm EDT",The Bills released OL Rush Reimer. (Source: Adam Schefter on Twitter),Fantasy Impact: Reimer was one of six players released by Buffalo with rosters needing to be cut down. He could seek another opportunity on a practice squad.,Category: Transactions
Garnett Hollis Jr.,"Mon, Aug 25th 12:09pm EDT",The Bills released DB Garnett Hollis Jr. (Source: Adam Schefter on Twitter),Fantasy Impact: Hollis was one of six players released by Buffalo with rosters needing to be cut down. He could seek another opportunity on a practice squad.,Category: Transactions
Nelson Ceaser,"Mon, Aug 25th 12:08pm EDT",The Bills released DE Nelson Ceaser. (Source: Adam Schefter on Twitter),Fantasy Impact: Ceaser was one of six players released by Buffalo with rosters needing to be cut down. He could seek another opportunity on a practice squad.,Category: Transactions
Zy Alexander,"Mon, Aug 25th 12:07pm EDT",The Bills released DB Zy Alexander. (Source: Adam Schefter on Twitter),Fantasy Impact: Alexander was one of six players released by Buffalo with rosters needing to be cut down. He could seek another opportunity on a practice squad.,Category: Transactions
Terry McLaurin,"Mon, Aug 25th 11:38am EDT","The Washington Commanders and wide receiver Terry McLaurin have agreed on a three-year contract worth over $96 million, ending his offseason hold-in. (Source: Jordan Schultz on Twitter)","Fantasy Impact: McLaurin is coming off his second career Pro Bowl and his fifth straight 1,000-yard season. Playing alongside a rookie Jayden Daniels, he set career-highs in touchdowns (13) and catch rate (70.1%). As the situation dragged on, there was concern it may not be resolved before the start of the season, but now McLaurin should be ready for Week 1 to deliver on his fantasy value, assuming he is not hampered by a slow start or his ankle injury.",Category: Transactions
Cam Akers,"Mon, Aug 25th 11:33am EDT",New Orleans Saints running back Cam Akers is being released by the team ahead of the 53-man roster deadline. (Source: Tom Pelissero on Twitter),"Fantasy Impact: Akers spent the 2024 season with the Houston Texans and Minnesota Vikings, being traded midseason to the Vikings for the second time in his career. He started two games in Houston and had 444 rushing yards. Akers will likely land somewhere, either on a practice squad or a midseason signing.",Category: Transactions
TJ Moore,"Mon, Aug 25th 3:55am EDT",The Giants placed CB TJ Moore on injured reserve. (Source: New York Giants on Twitter),Fantasy Impact: Moore suffered a leg injury late in Thursday's preseason finale. He had recorded a pick-six prior to the injury.,Category: Injury Updates
K'Von Wallace,"Mon, Aug 25th 3:53am EDT",The Giants released S K'Von Wallace. (Source: New York Giants on Twitter),Fantasy Impact: Wallace had signed a deal back in July with the Giants. He'll likely seek another opportunity ahead of the start of the season.,Category: Transactions
Blake Whiteheart,"Mon, Aug 25th 3:51am EDT",Browns coach Kevin Stefanski said TE Blake Whiteheart could be available for the start of the season. (Source: Mary Kay Cabot on Twitter),Fantasy Impact: Whitehead has been sidelined during training camp due to a knee injury. He'll have two weeks to get fully healthy prior to the start of the season.,Category: Injury Updates
Ethan Pocic,"Mon, Aug 25th 3:50am EDT",Browns coach Kevin Stefanski said Ethan Pocic could be available for the start of the season . (Source: Mary Kay Cabot on Twitter),Fantasy Impact: Pocic has been sidelined during training camp due to a knee injury. He'll have two weeks to get fully healthy prior to the start of the season.,Category: Injury Updates
Carter Warren,"Mon, Aug 25th 3:47am EDT",Carter Warren reportedly could be on the trade block with the Jets. (Source: Jeremy Fowler on Twitter),Fantasy Impact: We have seen several trades of offensive lineman and the Jets have the depth to make a move. This will be a situation to monitor.,Category: Rumors
Patrick Murtagh,"Fri, Aug 29th 4:50am EDT",The Broncos signed TE Patrick Murtagh to their practice squad. (Source: Zac Stevens on Twitter),Fantasy Impact: The move was made with the international exemption. Murtagh will add depth to the tight end room for Denver.,Category: Transactions
Tyler Scott,"Fri, Aug 29th 4:48am EDT",The Colts signed WR Tyler Scott to their practice squad. (Source: Mike Chappell on Twitter),Fantasy Impact: Scott was waived by the Bears earlier this week. He will add depth for the Colts in their wide receiver room. He was one of two players added to their practice squad.,Category: Transactions
Ben Nikkel,"Fri, Aug 29th 4:47am EDT",The Colts signed S Ben Nikkel to their practice squad. (Source: Mike Chappell on Twitter),Fantasy Impact: Nikkel will add depth for the Colts in their secondary. He was one of two players added to their practice squad.,Category: Transactions
Tyler Kahmann,"Fri, Aug 29th 4:45am EDT",The Colts released WR Tyler Kahmann. (Source: Mike Chappell on Twitter),Fantasy Impact: Kahmann loses his roster spot with one week till the season. He'll likely seek another opportunity on a practice squad.,Category: Transactions
Kedon Slovis,"Fri, Aug 29th 4:43am EDT",The Cardinals signed QB Kedon Slovis to their practice squad. (Source: Around the NFL on Twitter),Fantasy Impact: Slovis enters the season adding more depth in the quarterback room for Arizona.,Category: Transactions
Richie Grant,"Fri, Aug 29th 4:41am EDT",The 49ers released S Richie Grant. (Source: Nick Wagoner on Twitter),Fantasy Impact: Grant loses his roster spot with the season one week away. The 49ers brought back Russell Gage as the corresponding move with their wide receiver banged up.,Category: Transactions
