original sort,content,contains date,len,Type,Group ID
544,Category: Injury Updates,#VALUE!,,Category,91
545,Robert Woods,#VALUE!,12,Player name,92
546,Robert Woods released by Steelers,#VALUE!,33,Headline / Summary,92
547,"Tue, Aug 26th 12:02pm EDT",22,,Date,92
548,The Steelers released WR Robert Woods. (Source: Ian Rapoport on Twitter),#VALUE!,72,Headline / Summary,92
549,Fantasy Impact: Woods was unable to earn a spot on the Steelers 53-man roster. He'll likely seek a depth role with another team.,#VALUE!,,Fantasy Impact,92
550,Category: Transactions,#VALUE!,,Category,92
551,Josh Whyle,#VALUE!,10,Player name,93
552,Josh Whyle waived by Titans,#VALUE!,27,Headline / Summary,93
553,"Tue, Aug 26th 12:01pm EDT",22,,Date,93
554,The Titans waived TE Josh Whyle. (Source: Tom Pelissero on Twitter),#VALUE!,67,Headline / Summary,93
555,Fantasy Impact: Whyle was unable to earn a spot on the Titans 53-man roster. He'll likely seek a spot on a practice squad.,#VALUE!,,Fantasy Impact,93
556,Category: Transactions,#VALUE!,,Category,93
557,Tyquan Thornton,#VALUE!,15,Player name,94
558,Tyquan Thornton makes Chiefs final roster,#VALUE!,41,Headline / Summary,94
559,"Tue, Aug 26th 12:00pm EDT",22,,Date,94
560,WR Tyquan Thornton has officially made the Chiefs 53-man roster. (Source: Jordan Schultz on Twitter),#VALUE!,100,Headline / Summary,94
561,Fantasy Impact: Thornton spent last year on the practice squad. He earns a depth spot after an impressive showing in training camp and preseason.,#VALUE!,,Fantasy Impact,94
562,Category: Transactions,#VALUE!,,Category,94
563,Noah Igbinoghene,#VALUE!,16,Player name,95
564,Noah Igbinoghene drawing trade interest,#VALUE!,39,Headline / Summary,95
565,"Tue, Aug 26th 11:57am EDT",22,,Date,95
566,The Commanders have been gauging multiple teams’ interest in CB Noah Igbinoghene. (Source: Dianna Russini on Twitter),#VALUE!,117,Headline / Summary,95
567,Fantasy Impact: Igbinoghene was a first round pick in 2020. He would offer depth in the secondary for another team.,#VALUE!,,Fantasy Impact,95
568,Category: Rumors,#VALUE!,,Category,95
569,Clyde Edwards-Helaire,#VALUE!,21,Player name,96
570,Clyde Edwards-Helaire to have contract terminated by Saints,#VALUE!,59,Headline / Summary,96
571,"Tue, Aug 26th 11:55am EDT",22,,Date,96
572,The Saints are terminating the contract of RB Clyde Edwards-Helaire. (Source: Nick Underhill on Twitter),#VALUE!,104,Headline / Summary,96
573,Fantasy Impact: Edwards-Helaire will become a free agent. He'll look to land a depth role with another team.,#VALUE!,,Fantasy Impact,96
574,Category: Transactions,#VALUE!,,Category,96
575,Isaiah Prince,#VALUE!,13,Player name,97
576,Isaiah Prince placed on IR,#VALUE!,26,Headline / Summary,97
577,"Tue, Aug 26th 11:47am EDT",22,,Date,97
578,The 49ers placed OL Isaiah Prince on injured reserve. (Source: Adam Schefter on Twitter),#VALUE!,88,Headline / Summary,97
579,Fantasy Impact: Prince will open the season on IR for San Francisco.,#VALUE!,,Fantasy Impact,97
580,Category: Injury Updates,#VALUE!,,Category,97
581,Ke'Shawn Vaughn,#VALUE!,15,Player name,98
582,Ke'Shawn Vaughn released by 49ers,#VALUE!,33,Headline / Summary,98
583,"Tue, Aug 26th 11:46am EDT",22,,Date,98
584,The 49ers released RB Ke'Shawn Vaughn. (Source: Adam Schefter on Twitter),#VALUE!,73,Headline / Summary,98
585,Fantasy Impact: Vaughn was unable to earn a spot on the 49ers 53-man roster. He'll likely seek a spot on a practice squad.,#VALUE!,,Fantasy Impact,98
586,Category: Transactions,#VALUE!,,Category,98
587,Shakel Brown,#VALUE!,12,Player name,99
588,Shakel Brown waived by 49ers,#VALUE!,28,Headline / Summary,99
589,"Tue, Aug 26th 11:46am EDT",22,,Date,99
590,The 49ers waived DL Shakel Brown. (Source: Adam Schefter on Twitter),#VALUE!,68,Headline / Summary,99
591,Fantasy Impact: Brown was unable to earn a spot on the 49ers 53-man roster. He'll likely seek a spot on a practice squad.,#VALUE!,,Fantasy Impact,99
592,Category: Transactions,#VALUE!,,Category,99
593,Jaylon Allen,#VALUE!,12,Player name,100
594,Jaylon Allen waived by 49ers,#VALUE!,28,Headline / Summary,100
595,"Tue, Aug 26th 11:45am EDT",22,,Date,100
596,The 49ers waived DL Jaylon Allen. (Source: Adam Schefter on Twitter),#VALUE!,68,Headline / Summary,100
597,Fantasy Impact: Allen was unable to earn a spot on the 49ers 53-man roster. He'll likely seek a spot on a practice squad.,#VALUE!,,Fantasy Impact,100
598,Category: Transactions,#VALUE!,,Category,100
599,Tanner Mordecai,#VALUE!,15,Player name,101
600,Tanner Mordecai waived by 49ers,#VALUE!,31,Headline / Summary,101
601,"Tue, Aug 26th 11:44am EDT",22,,Date,101
602,The 49ers waived QB Tanner Mordecai. (Source: Adam Schefter on Twitter),#VALUE!,71,Headline / Summary,101
603,Fantasy Impact: Mordecai was unable to earn a spot on the 49ers 53-man roster. He'll likely seek a spot on a practice squad.,#VALUE!,,Fantasy Impact,101
604,Category: Transactions,#VALUE!,,Category,101
605,Carter Bradley,#VALUE!,14,Player name,102
606,Carter Bradley waived by 49ers,#VALUE!,30,Headline / Summary,102
607,"Tue, Aug 26th 11:43am EDT",22,,Date,102
608,The 49ers waived QB Carter Bradley. (Source: Adam Schefter on Twitter),#VALUE!,70,Headline / Summary,102
609,Fantasy Impact: Bradley was unable to earn a spot on the 49ers 53-man roster. He'll likely seek a spot on a practice squad.,#VALUE!,,Fantasy Impact,102
610,Category: Transactions,#VALUE!,,Category,102
611,Chidobe Awuzie,#VALUE!,14,Player name,103
612,Chidobe Awuzie expected to return to practice next week,#VALUE!,55,Headline / Summary,103
613,"Tue, Aug 26th 11:41am EDT",22,,Date,103
614,Ravens coach John Harbaugh said he expects Chidobe Awuzie to return to practice next week. (Source: Jamison Hensley on Twitter),#VALUE!,127,Headline / Summary,103
615,Fantasy Impact: Awuzie had been absent from practice during training camp. He should have enough time to be ready for the season opener against the Bills.,#VALUE!,,Fantasy Impact,103
616,Category: Injury Updates,#VALUE!,,Category,103
617,Jaire Alexander,#VALUE!,15,Player name,104
618,Jaire Alexander expected to return to practice next week,#VALUE!,56,Headline / Summary,104
619,"Tue, Aug 26th 11:39am EDT",22,,Date,104
620,Ravens coach John Harbaugh said he expects Jaire Alexander to return to practice next week. (Source: Jamison Hensley on Twitter),#VALUE!,128,Headline / Summary,104
621,Fantasy Impact: Alexander did not practice last week due to an undisclosed injury. He should still be good to go for the season opener against the Bills.,#VALUE!,,Fantasy Impact,104
622,Category: Injury Updates,#VALUE!,,Category,104
623,Patrick Ricard,#VALUE!,14,Player name,105
624,Patrick Ricard expected to return to practice next week,#VALUE!,55,Headline / Summary,105
625,"Tue, Aug 26th 11:38am EDT",22,,Date,105
626,Ravens coach John Harbaugh said he expects Patrick Ricard to return to practice next week. (Source: Jamison Hensley on Twitter),#VALUE!,127,Headline / Summary,105
627,Fantasy Impact: Ricard was not practicing last week due to a soft tissue injury. He should be on track to be ready for the start of the season.,#VALUE!,,Fantasy Impact,105
628,Category: Injury Updates,#VALUE!,,Category,105
629,Easton Stick,#VALUE!,12,Player name,106
630,Easton Stick waived by Falcons,#VALUE!,30,Headline / Summary,106
631,"Tue, Aug 26th 11:34am EDT",22,,Date,106
632,The Falcons waived QB Easton Stick. (Source: Mike Garafolo on Twitter),#VALUE!,70,Headline / Summary,106
633,Fantasy Impact: Stick was drawing some interest from the Saints. He could land with them if he clears waivers.,#VALUE!,,Fantasy Impact,106
634,Category: Transactions,#VALUE!,,Category,106
635,Carson Steele,#VALUE!,13,Player name,107
636,Carson Steele released by Chiefs,#VALUE!,32,Headline / Summary,107
637,"Tue, Aug 26th 11:33am EDT",22,,Date,107
638,The Chiefs released RB Carson Steele. (Source: Ari Meirov on Twitter),#VALUE!,69,Headline / Summary,107
639,Fantasy Impact: Steele was unable to earn a spot on the Chiefs 53-man roster. He'll likely look to land another opportunity in a depth role.,#VALUE!,,Fantasy Impact,107
640,Category: Transactions,#VALUE!,,Category,107
641,Mecole Hardman Jr.,#VALUE!,18,Player name,108
642,Mecole Hardman Jr. released by Packers,#VALUE!,38,Headline / Summary,108
643,"Tue, Aug 26th 11:31am EDT",22,,Date,108
644,The Packers released WR Mecole Hardman Jr. (Source: Jordan Schultz on Twitter),#VALUE!,78,Headline / Summary,108
645,Fantasy Impact: Hardman signed a deal with Green Bay in March. He'll likely look to land a depth role with another team.,#VALUE!,,Fantasy Impact,108
646,Category: Transactions,#VALUE!,,Category,108
647,Pierre Strong Jr.,#VALUE!,17,Player name,109
648,Pierre Strong Jr. released by Browns,#VALUE!,36,Headline / Summary,109
649,"Tue, Aug 26th 11:29am EDT",22,,Date,109
650,The Browns released RB Pierre Strong Jr. (Source: Matt Zenitz on Twitter),#VALUE!,73,Headline / Summary,109
651,Fantasy Impact: Strong spent the past two seasons in Cleveland. He'll likely seek a depth role with another team.,#VALUE!,,Fantasy Impact,109
652,Category: Transactions,#VALUE!,,Category,109
653,K.J. Osborn,#VALUE!,11,Player name,110
654,K.J. Osborn released by Commanders,#VALUE!,34,Headline / Summary,110
655,"Tue, Aug 26th 11:26am EDT",22,,Date,110
656,The Commanders released WR K.J. Osborn. (Source: Adam Schefter on Twitter),#VALUE!,74,Headline / Summary,110
657,Fantasy Impact: Osborn was with the Commanders since March. He was unable to earn a spot on the Commanders 53-man roster. He'll likely look to land another opportunity on a practice squad.,#VALUE!,,Fantasy Impact,110
658,Category: Transactions,#VALUE!,,Category,110
659,Lil'Jordan Humphrey,#VALUE!,19,Player name,111
660,Lil'Jordan Humphrey released by Giants,#VALUE!,38,Headline / Summary,111
661,"Tue, Aug 26th 11:24am EDT",22,,Date,111
662,The Giants released WR Lil'Jordan Humphrey. (Source: Adam Schefter on Twitter),#VALUE!,78,Headline / Summary,111
663,Fantasy Impact: Humphrey had been with the Giants since March. He was unable to earn a spot on the Giants 53-man roster. He'll likely look to land another opportunity on a practice squad.,#VALUE!,,Fantasy Impact,111
664,Category: Transactions,#VALUE!,,Category,111
665,Trent Brown,#VALUE!,11,Player name,112
666,Trent Brown released by Texans,#VALUE!,30,Headline / Summary,112
667,"Tue, Aug 26th 11:23am EDT",22,,Date,112
668,The Texans are releasing veteran offensive lineman Trent Brown. (Source: Adam Schefter on Twitter),#VALUE!,98,Headline / Summary,112
669,Fantasy Impact: Brown was unable to earn a spot on the Texans 53-man roster. He'll likely look to land another opportunity in a depth spot.,#VALUE!,,Fantasy Impact,112
670,Category: Transactions,#VALUE!,,Category,112
671,Theo Wease Jr.,#VALUE!,14,Player name,113
672,Theo Wease Jr. released by Dolphins,#VALUE!,35,Headline / Summary,113
673,"Tue, Aug 26th 11:21am EDT",22,,Date,113
674,The Dolphins released WR Theo Wease Jr. (Source: Adam Schefter on Twitter),#VALUE!,74,Headline / Summary,113
675,Fantasy Impact: Wease signed with Miami as an undrafted free agent. He was unable to earn a spot on the Dolphins 53-man roster. He'll likely look to land another opportunity on a practice squad.,#VALUE!,,Fantasy Impact,113
676,Category: Transactions,#VALUE!,,Category,113
677,Ja'Quinden Jackson,#VALUE!,18,Player name,114
678,Ja'Quinden Jackson released by Jaguars,#VALUE!,38,Headline / Summary,114
679,"Tue, Aug 26th 11:20am EDT",22,,Date,114
680,The Jaguars released RB Ja'Quinden Jackson. (Source: Adam Schefter on Twitter),#VALUE!,78,Headline / Summary,114
681,Fantasy Impact: Jackson signed with the Jaguars as an undrafted free agent. He was unable to earn a spot on the Jaguars 53-man roster. He'll likely look to land another opportunity on a practice squad.,#VALUE!,,Fantasy Impact,114
682,Category: Transactions,#VALUE!,,Category,114
683,Duke Riley,#VALUE!,10,Player name,115
684,Duke Riley released by Commanders,#VALUE!,33,Headline / Summary,115
685,"Tue, Aug 26th 11:18am EDT",22,,Date,115
686,The Commanders released LB Duke Riley. (Source: Adam Schefter on Twitter),#VALUE!,73,Headline / Summary,115
687,Fantasy Impact: Riley signed with the Commanders earlier in August. He was unable to earn a spot on the Commanders 53-man roster. He'll likely look to land another opportunity on a practice squad.,#VALUE!,,Fantasy Impact,115
688,Category: Transactions,#VALUE!,,Category,115
689,Derrick McLendon II,#VALUE!,19,Player name,116
690,Derrick McLendon II waived by Dolphins,#VALUE!,38,Headline / Summary,116
691,"Tue, Aug 26th 11:16am EDT",22,,Date,116
692,The Dolphins waived LB Derrick McLendon II. (Source: Adam Schefter on Twitter),#VALUE!,78,Headline / Summary,116
693,Fantasy Impact: McLendon was unable to earn a spot on the Dolphins 53-man roster. He'll likely look to land another opportunity on a practice squad.,#VALUE!,,Fantasy Impact,116
694,Category: Transactions,#VALUE!,,Category,116
695,Jordan Clark,#VALUE!,12,Player name,117
696,Jordan Clark waived by Jets,#VALUE!,27,Headline / Summary,117
697,"Tue, Aug 26th 11:14am EDT",22,,Date,117
698,The Jets waived DB Jordan Clark. (Source: Adam Schefter on Twitter),#VALUE!,67,Headline / Summary,117
699,Fantasy Impact: Clark is expected to be on the Jets’ practice squad if he goes unclaimed.,#VALUE!,,Fantasy Impact,117
700,Category: Transactions,#VALUE!,,Category,117
701,Jonathan Mingo,#VALUE!,14,Player name,118
702,Jonathan Mingo (knee) placed on injured reserve,#VALUE!,47,Headline / Summary,118
703,"Tue, Aug 26th 11:10am EDT",22,,Date,118
704,Jonathan Mingo (knee) has been placed on injured reserve. (Source: Todd Archer on Twitter),#VALUE!,90,Headline / Summary,118
705,"Fantasy Impact: Mingo is set to be sidelined for a while as he recovers from a knee injury that he suffered during the preseason. He isn't fantasy relevant in any league formats, so managers shouldn't put much weight into his absence for Dallas.",#VALUE!,,Fantasy Impact,118
706,Category: Transactions,#VALUE!,,Category,118
707,Tyjae Spears,#VALUE!,12,Player name,119
708,Tyjae Spears (ankle) to miss first four games on IR,#VALUE!,51,Headline / Summary,119
709,"Tue, Aug 26th 11:10am EDT",22,,Date,119
710,The Titans are placing RB Tyjae Spears on injured reserve that will sideline him the first four games of the season. (Source: Adam Schefter on Twitter),#VALUE!,151,Headline / Summary,119
711,Fantasy Impact: Spears suffered a high ankle sprain earlier in August which placed him in a walking boot. Tony Pollard will see a bigger role early in the season.,#VALUE!,,Fantasy Impact,119
712,Category: Injury Updates,#VALUE!,,Category,119
713,Jake Haener,#VALUE!,11,Player name,120
714,Jake Haener waived by Saints,#VALUE!,28,Headline / Summary,120
715,"Tue, Aug 26th 10:59am EDT",22,,Date,120
716,Jake Haener has been waived by the New Orleans Saints. (Source: Mike Garafolo on Twitter),#VALUE!,89,Headline / Summary,120
717,"Fantasy Impact: Haener was one of the quarterbacks battling for the starting job in New Orleans over the course of the summer, but he did not win and is now being waived by the team. If he finds a home with a new team, it will be as nothing more than a depth piece.",#VALUE!,,Fantasy Impact,120
718,Category: Transactions,#VALUE!,,Category,120
719,Desmond Ridder,#VALUE!,14,Player name,121
720,Desmond Ridder released by Bengals,#VALUE!,34,Headline / Summary,121
721,"Tue, Aug 26th 10:57am EDT",22,,Date,121
722,Desmond Ridder has been released by the Cincinnati Bengals. (Source: Tom Pelissero on Twitter),#VALUE!,94,Headline / Summary,121
723,"Fantasy Impact: The Bengals need to make roster cuts prior to the start of the regular season, and Ridder now finds himself as a victim of that. Jake Browning is set to be the QB2 for the team heading into the regular season.",#VALUE!,,Fantasy Impact,121
724,Category: Transactions,#VALUE!,,Category,121
725,Greg Dulcich,#VALUE!,12,Player name,122
726,Greg Dulcich cut by Giants,#VALUE!,26,Headline / Summary,122
727,"Tue, Aug 26th 10:56am EDT",22,,Date,122
728,Greg Dulcich has been released by the New York Giants. (Source: Tom Pelissero on Twitter),#VALUE!,89,Headline / Summary,122
729,"Fantasy Impact: The Giants releasing Dulcich comes as a bit of a surprise, as he had a dominant preseason and looked slated to make the roster with New York's tight end depth being weak. The team decided to let him go, however, and he seems like a prime candidate to sign with another team at some point early on in the season.",#VALUE!,,Fantasy Impact,122
730,Category: Transactions,#VALUE!,,Category,122
731,Malachi Corley,#VALUE!,14,Player name,123
732,Malachi Corley waived by Jets,#VALUE!,29,Headline / Summary,123
733,"Tue, Aug 26th 10:53am EDT",22,,Date,123
734,Malachi Corley has been waived by the New York Jets. (Source: Jordan Schultz on Twitter),#VALUE!,88,Headline / Summary,123
735,"Fantasy Impact: The Jets invested a day-two pick on Corley in the 2024 NFL Draft, but he struggled to find his footing with the team and is now being waived. It remains to be seen if he will land somewhere else prior to the start of the season.",#VALUE!,,Fantasy Impact,123
736,Category: Transactions,#VALUE!,,Category,123
737,Trey Palmer,#VALUE!,11,Player name,124
738,Trey Palmer waived by Buccaneers,#VALUE!,32,Headline / Summary,124
739,"Tue, Aug 26th 10:51am EDT",22,,Date,124
740,Trey Palmer has been waived by the Tampa Bay Buccaneers. (Source: Rick Stroud on Twitter),#VALUE!,89,Headline / Summary,124
741,"Fantasy Impact: Palmer is now on waivers and is eligible to be claimed over the next couple of days. The Buccaneers have a deep wide receiver room, so cutting him loose may speak more to their abundance rather than a knock on him as a player. He seems likely to land somewhere before the season begins, but he isn't expected to be fantasy relevant at all this season.",#VALUE!,,Fantasy Impact,124
742,Category: Transactions,#VALUE!,,Category,124
743,Jelani Woods,#VALUE!,12,Player name,125
744,Jelani Woods released by Colts,#VALUE!,30,Headline / Summary,125
745,"Tue, Aug 26th 10:49am EDT",22,,Date,125
746,Jelani Woods has been released by the Indianapolis Colts. (Source: Jeremy Fowler on Twitter),#VALUE!,92,Headline / Summary,125
747,"Fantasy Impact: The Colts have decided to release Woods as part of their roster cut downs prior to the start of the regular season. He is a former third round pick and still has high physical upside, so he seems like a strong candidate to be signed by another team at some point during the season.",#VALUE!,,Fantasy Impact,125
748,Category: Transactions,#VALUE!,,Category,125
749,Diontae Johnson,#VALUE!,15,Player name,126
750,Diontae Johnson released by Cleveland Browns,#VALUE!,44,Headline / Summary,126
751,"Tue, Aug 26th 9:46am EDT",21,,Date,126
752,Diontae Johnson has been released by the Cleveland Browns. The former Steeler will now look to find a new home. (Source: Mike Garafolo on X),#VALUE!,140,Headline / Summary,126
753,"Fantasy Impact: Johnson appeared to be building some chemistry with the Cleveland QBs earlier this offseason, but the journeyman couldn’t make it stick. With the addition of Isaiah Bond and return of Cedric Tillman to the lineup alongside Jerry Jeudy, Johnson became the odd man out. His fantasy relevance has been extremely limited since his Carolina days, and it appears his off the field actions have something to do with him not finding a good fit. He’s a name worth monitoring, but his fantasy relevance is likely over.",#VALUE!,,Fantasy Impact,126
754,Category: Transactions,#VALUE!,,Category,126
755,Tommy DeVito,#VALUE!,12,Player name,127
756,Tommy DeVito released by New York Giants,#VALUE!,40,Headline / Summary,127
757,"Tue, Aug 26th 8:24am EDT",21,,Date,127
758,"Tommy DeVito has been released by the New York Giants. There were some trade talks happening behind the scenes before his release, so he might not be without a team for long. (Source: Mike Garafolo on X)",#VALUE!,203,Headline / Summary,127
759,"Fantasy Impact: Almost no matter where he goes, he’s going to be the second string backup at best, but likely a third string QB. He’s been a serviceable replacement, however, going 3-5 in his starts and completing 65% of his passes while keeping turnovers down.",#VALUE!,,Fantasy Impact,127
760,Category: Transactions,#VALUE!,,Category,127
761,Dan Skipper,#VALUE!,11,Player name,128
762,Dan Skipper released by Lions,#VALUE!,29,Headline / Summary,128
763,"Tue, Aug 26th 4:51am EDT",21,,Date,128
764,The Lions released OL Dan Skipper. (Source: Ari Meirov on Twitter),#VALUE!,66,Headline / Summary,128
765,Fantasy Impact: Skipper had re-signed with Detroit back in March. He'll likely seek a depth role with another team.,#VALUE!,,Fantasy Impact,128
766,Category: Transactions,#VALUE!,,Category,128
767,Tyrice Knight,#VALUE!,13,Player name,129
768,Tyrice Knight (knee) expected to be ready for Week 1,#VALUE!,52,Headline / Summary,129
769,"Tue, Aug 26th 4:50am EDT",21,,Date,129
770,Seahawks coach Mike Macdonald said he expects Tyrice Knight to be ready for the start of the season. (Source: Brian Nemhauser on Twitter),#VALUE!,137,Headline / Summary,129
771,Fantasy Impact: This confirms a report from last week. Knight has just under two weeks to get fully healthy.,#VALUE!,,Fantasy Impact,129
772,Category: Injury Updates,#VALUE!,,Category,129
773,Tory Horton,#VALUE!,11,Player name,130
774,Tory Horton expected to be available for Week 1,#VALUE!,47,Headline / Summary,130
775,"Tue, Aug 26th 4:48am EDT",21,,Date,130
776,Seahawks coach Mike Macdonald said he expects rookie WR Tory Horton to be available for Week 1. (Source: Brian Nemhauser on Twitter),#VALUE!,132,Headline / Summary,130
777,Fantasy Impact: Horton has been sidelined from practice since last week. He is competing for the WR3 role in Seattle.,#VALUE!,,Fantasy Impact,130
778,Category: Injury Updates,#VALUE!,,Category,130
779,Jake Bobo,#VALUE!,9,Player name,131
780,Jake Bobo placed in concussion protocol,#VALUE!,39,Headline / Summary,131
781,"Tue, Aug 26th 4:45am EDT",21,,Date,131
782,The Seahawks placed WR Jake Bobo in concussion protocol. (Source: Brian Nemhauser on Twitter),#VALUE!,93,Headline / Summary,131
783,Fantasy Impact: Bobo suffered the injury in the Seahawks preseason finale. He will just have under two weeks to clear the protocols ahead of the season opener.,#VALUE!,,Fantasy Impact,131
784,Category: Injury Updates,#VALUE!,,Category,131
785,Mike Morris,#VALUE!,11,Player name,132
786,Mike Morris placed in concussion protocol,#VALUE!,41,Headline / Summary,132
787,"Tue, Aug 26th 4:44am EDT",21,,Date,132
788,The Seahawks placed Mike Morris in concussion protocol. (Source: Brian Nemhauser on Twitter),#VALUE!,92,Headline / Summary,132
789,Fantasy Impact: Morris will just have under two weeks to clear the protocols ahead of the season opener.,#VALUE!,,Fantasy Impact,132
790,Category: Injury Updates,#VALUE!,,Category,132
791,Brenden Rice,#VALUE!,12,Player name,133
792,Brenden Rice released by Chargers,#VALUE!,33,Headline / Summary,133
793,"Tue, Aug 26th 4:41am EDT",21,,Date,133
794,The Chargers released WR Brenden Rice.,#VALUE!,38,Headline / Summary,133
795,Fantasy Impact: Rice is son of Hall of Famer Jerry Rice. He'll likely seek a depth role with another team.,#VALUE!,,Fantasy Impact,133
796,Category: Transactions,#VALUE!,,Category,133
797,Shane Buechele,#VALUE!,14,Player name,134
798,Shane Buechele waived by Bills,#VALUE!,30,Headline / Summary,134
799,"Tue, Aug 26th 4:40am EDT",21,,Date,134
800,The Bills waived QB Shane Buechele. (Source: Adam Schefter on Twitter),#VALUE!,70,Headline / Summary,134
801,"Fantasy Impact: Buechele completed 25-of-30 passes for 278 yards, a touchdown. He also added 20 rushing yards Saturday night. He'll seek another depth role.",#VALUE!,,Fantasy Impact,134
802,Category: Transactions,#VALUE!,,Category,134
803,Brennan Jackson,#VALUE!,15,Player name,135
804,Brennan Jackson released by Rams,#VALUE!,32,Headline / Summary,135
805,"Tue, Aug 26th 4:38am EDT",21,,Date,135
806,The Rams released LB Brennan Jackson. (Source: Adam Schefter on Twitter),#VALUE!,72,Headline / Summary,135
807,Fantasy Impact: Jackson was a round pick just last year. He was second in the NFL in sacks this preseason.,#VALUE!,,Fantasy Impact,135
808,Category: Transactions,#VALUE!,,Category,135
809,Jaylon Smith,#VALUE!,12,Player name,136
810,Jaylon Smith released by Raiders,#VALUE!,32,Headline / Summary,136
811,"Tue, Aug 26th 4:36am EDT",21,,Date,136
812,The Raiders released LB Jaylon Smith. (Source: Tom Pelissero on Twitter),#VALUE!,72,Headline / Summary,136
813,Fantasy Impact: Smith was one of four players released by Las Vegas on Monday. He'll likely seek another opportunity prior to the start of the season.,#VALUE!,,Fantasy Impact,136
814,Category: Transactions,#VALUE!,,Category,136
815,Marquez Callaway,#VALUE!,16,Player name,137
816,Marquez Callaway released by Raiders,#VALUE!,36,Headline / Summary,137
817,"Tue, Aug 26th 4:35am EDT",21,,Date,137
818,The Raiders released WR Marquez Callaway. (Source: Tom Pelissero on Twitter),#VALUE!,76,Headline / Summary,137
819,Fantasy Impact: Callaway was one of three wide receivers released by Las Vegas on Monday. He'll likely seek another opportunity prior to the start of the season.,#VALUE!,,Fantasy Impact,137
820,Category: Transactions,#VALUE!,,Category,137
821,Phillip Dorsett II,#VALUE!,18,Player name,138
822,Phillip Dorsett II released by Raiders,#VALUE!,38,Headline / Summary,138
823,"Tue, Aug 26th 4:34am EDT",21,,Date,138
824,The Raiders released WR Phillip Dorsett II. (Source: Tom Pelissero on Twitter),#VALUE!,78,Headline / Summary,138
825,Fantasy Impact: Dorsett was one of three wide receivers released by Las Vegas on Monday. He'll likely seek another opportunity prior to the start of the season.,#VALUE!,,Fantasy Impact,138
826,Category: Transactions,#VALUE!,,Category,138
827,Collin Johnson,#VALUE!,14,Player name,139
828,Collin Johnson released by Raiders,#VALUE!,34,Headline / Summary,139
829,"Tue, Aug 26th 4:33am EDT",21,,Date,139
830,The Raiders released WR Collin Johnson. (Source: Tom Pelissero on Twitter),#VALUE!,74,Headline / Summary,139
831,Fantasy Impact: Johnson was one of three wide receivers released by Las Vegas on Monday. He'll likely seek another opportunity prior to the start of the season.,#VALUE!,,Fantasy Impact,139
832,Category: Transactions,#VALUE!,,Category,139
833,Baylor Cupp,#VALUE!,11,Player name,140
834,Baylor Cupp waived by Ravens,#VALUE!,28,Headline / Summary,140
835,"Tue, Aug 26th 4:31am EDT",21,,Date,140
836,The Ravens waived TE Baylor Cupp. (Source: Jamison Hensley on Twitter),#VALUE!,70,Headline / Summary,140
837,Fantasy Impact: Cupping signed with the Ravens earlier in August. He was one of three players waived by Baltimore on Monday ahead of Tuesday's deadline for rosters to be cut down. He'll likely seek another opportunity before the season.,#VALUE!,,Fantasy Impact,140
838,Category: Transactions,#VALUE!,,Category,140
839,MJ Devonshire Jr.,#VALUE!,17,Player name,141
840,MJ Devonshire Jr. waived by Ravens,#VALUE!,34,Headline / Summary,141
841,"Tue, Aug 26th 4:29am EDT",21,,Date,141
842,The Ravens waived DB MJ Devonshire Jr. (Source: Jamison Hensley on Twitter),#VALUE!,75,Headline / Summary,141
843,Fantasy Impact: Devonshire was one of three players waived by Baltimore on Monday ahead of Tuesday's deadline for rosters to be cut down. He'll likely seek another opportunity before the season.,#VALUE!,,Fantasy Impact,141
844,Category: Transactions,#VALUE!,,Category,141
845,Reid Holskey,#VALUE!,12,Player name,142
846,Reid Holskey waived by Ravens,#VALUE!,29,Headline / Summary,142
847,"Tue, Aug 26th 4:28am EDT",21,,Date,142
848,The Ravens waived OT Reid Holskey. (Source: Jamison Hensley on Twitter),#VALUE!,71,Headline / Summary,142
849,Fantasy Impact: Holskey was one of three players waived by Baltimore on Monday ahead of Tuesday's deadline for rosters to be cut down. He'll likely seek another opportunity before the season.,#VALUE!,,Fantasy Impact,142
850,Category: Transactions,#VALUE!,,Category,142
851,Essang Bassey,#VALUE!,13,Player name,143
852,Essang Bassey released by Commanders,#VALUE!,36,Headline / Summary,143
853,"Tue, Aug 26th 4:26am EDT",21,,Date,143
854,The Commanders released DB Essang Bassey. (Source: Adam Schefter on Twitter),#VALUE!,76,Headline / Summary,143
855,Fantasy Impact: Bassey had signed with the Commanders earlier in August. He loses his roster spot with Washington ahead of Tuesday's deadline for rosters to be cut down to 53 players. He'll likely seek another opportunity.,#VALUE!,,Fantasy Impact,143
856,Category: Transactions,#VALUE!,,Category,143
857,Nick Harris,#VALUE!,11,Player name,144
858,Nick Harris released by Commanders,#VALUE!,34,Headline / Summary,144
859,"Tue, Aug 26th 4:24am EDT",21,,Date,144
860,The Commanders released C Nick Harris. (Source: Adam Schefter on Twitter),#VALUE!,73,Headline / Summary,144
861,Fantasy Impact: Harris signed with Washington just last week. He loses his roster spot with Washington ahead of Tuesday's deadline for rosters to be cut down to 53 players. He'll likely seek another opportunity.,#VALUE!,,Fantasy Impact,144
862,Category: Transactions,#VALUE!,,Category,144
863,Tyre Phillips,#VALUE!,13,Player name,145
864,Tyre Phillips released by Commanders,#VALUE!,36,Headline / Summary,145
865,"Tue, Aug 26th 4:23am EDT",21,,Date,145
